Property Overview,Area,BHK,Locality,Status,Floor,Transaction,Furnishing,Facing,Overlooking,Society,Car parking,Bathroom,Ownership,Price(L),Builder
1 BHK Villa,Nan,1 ,"Malhaar Exotica,Sardar Patel Ring Road",Ready to Move ,Nan,New Property ,Unfurnished ,Nan,"Garden/Park, Pool, Main Road ",Malhaar Exotica ,1 Open ,1 ,Freehold ,24.0,Malhaar Exotica
3 BHK Apartment,Nan,3 ,"Shilp Shaligram,Vastrapur",Possession by Jun '22 ,1 out of 10 floors floor,New Property ,Unfurnished ,Nan,Nan,Shilp Shaligram ,Nan,3 ,Nan,121.0,Shilp Group
3 BHK Apartment,Nan,3 ,"Rajvi Opal,Naranpura",Possession by Nov '21 ,Nan,New Property ,Unfurnished ,Nan,Nan,Rajvi Opal ,2 Covered ,3 ,Nan,108.0,Shivam Builders Pvt Ltd
3 BHK Apartment,Nan,3 ,"Ekta Festival,Naranpura",Possession by Mar '22 ,Nan,New Property ,Unfurnished ,Nan,Nan,Ekta Festival ,2 Covered ,3 ,Nan,112.00000000000001,Anand Patel
3 BHK Apartment,1191 sqft carpet area,3 ,"Polaris Celestia,Koteshwar",Possession by Jul '23 ,Nan,New Property ,Unfurnished ,Nan,Nan,Polaris Celestia ,Nan,3 ,Nan,86.7,Polaris Group
3 BHK Apartment,1783 sqft carpet area,3 ,Thaltej,Ready to Move ,Nan,New Property ,Unfurnished ,East ,"Garden/Park, Pool, Main Road ",Nan,2 Covered ,3 ,Freehold ,158.0,Heaven Space
3 BHK Apartment,1085 sqft carpet area,3 ,"Jagatpur Village, Gota",Ready to Move ,Nan,Resale ,Unfurnished ,North ,"Garden/Park, Pool, Main Road ",Nan,1 Covered ,3 ,Freehold ,61.0,Metro Real Estate
2 BHK Apartment,650 sqft carpet area,2 ,"Sky Sol,South Bopal, Bopal",Ready to Move ,9 out of 13 floors floor,Resale ,Furnished ,East ,Main Road ,Sky Sol ,1 Covered ,2 ,Freehold ,49.5,Resolute Property Solution
3 BHK Apartment,1209 sqft carpet area,3 ,Gota,Ready to Move ,Nan,New Property ,Unfurnished ,East ,"Garden/Park, Pool, Main Road ",Nan,"1 Covered, 1 Open ",3 ,Freehold ,80.0,Vital Space Management Private Limited
3 BHK Apartment,1500 sqft carpet area,3 ,"Indraprasth 5,Prahlad Nagar",Ready to Move ,3 out of 5 floors floor,Resale ,Unfurnished ,East ,Garden/Park ,Indraprasth 5 ,1 Covered ,3 ,Freehold ,114.99999999999999,H2O Property Solutions
3 BHK Apartment,1356 sqft carpet area,3 ,"Belvista,Iskon Ambli Road",Ready to Move ,5 out of 7 floors floor,New Property ,Unfurnished ,East ,"Garden/Park, Main Road ",Belvista ,1 Covered ,3 ,Freehold ,162.0,Disha Estate Management Pvt.Ltd
3 BHK Villa,550 sqyrd carpet area,3 ,Sardar Patel Ring Road,Ready to Move ,Nan,Resale ,Furnished ,East ,Garden/Park ,Nan,"3 Covered, 2 Open ",3 ,Co-operative Society ,530.0,Prop Advisor Realty Services Pvt. Ltd.
3 BHK Apartment,1209 sqft carpet area,3 ,Gota,Ready to Move ,Nan,Resale ,Unfurnished ,East ,"Garden/Park, Pool, Main Road ",Nan,1 Covered ,3 ,Freehold ,75.0,Clear Deals Properties
3 BHK Apartment,1436 sqft carpet area,3 ,"Maple Tree Garden Homes,Thaltej",Ready to Move ,1 out of 1 floor floor,New Property ,Unfurnished ,East ,"Garden/Park, Pool, Main Road ",Maple Tree Garden Homes ,2 Covered ,3 ,Freehold ,150.0,Vision Espace
3 BHK Apartment,146 sqyrd carpet area,3 ,"42 Parkview,Science City",Ready to Move ,2 out of 13 floors floor,Resale ,Unfurnished ,East ,"Garden/Park, Main Road ",42 Parkview ,2 Covered ,3 ,Freehold ,150.0,Niraj Estate Consultancy
3 BHK Apartment,1221 sqft carpet area,3 ,"Gala Eternia,Thaltej",Ready to Move ,Nan,New Property ,Unfurnished ,East ,Main Road ,Gala Eternia ,1 Open ,3 ,Freehold ,101.0,Bagrecha Realities LLP
3 BHK Apartment,1200 sqft carpet area,3 ,"Vastu Oasis,PRL Colony, Thaltej",Ready to Move ,6 out of 7 floors floor,Resale ,Unfurnished ,East ,Garden/Park ,Vastu Oasis ,1 Covered ,3 ,Freehold ,148.0,Elite Realty Services LLP
3 BHK Apartment,1001 sqft carpet area,3 ,"Sun South Winds,South Bopal, Bopal",Ready to Move ,1 out of 14 floors floor,New Property ,Unfurnished ,East ,"Garden/Park, Pool, Main Road ",Sun South Winds ,Nan,3 ,Freehold ,62.0,Tanishqua Reality
3 BHK Apartment,Nan,3 ,C G Road,Ready to Move ,3 out of 5 floors floor,New Property ,Unfurnished ,North ,Garden/Park ,Nan,1 Covered ,3 ,Freehold ,133.0,Tulja Estate Pvt. Ltd.
3 BHK Villa,225 sqyrd carpet area,3 ,Thaltej,Ready to Move ,Nan,Resale ,Furnished ,East ,"Garden/Park, Main Road ",Nan,1 Covered ,3 ,Freehold ,290.0,Arham Property Solution
2 BHK Apartment,85 sqyrd carpet area,2 ,Bodakdev,Ready to Move ,2 out of 4 floors floor,Resale ,Furnished ,West ,"Garden/Park, Main Road ",Nan,1 Covered ,2 ,Freehold ,60.0,Times Property Solution
2 BHK Apartment,847 sqft carpet area,2 ,"Savvy Swaraj,Jagatpur",Ready to Move ,3 out of 13 floors floor,Resale ,Unfurnished ,North - East ,"Garden/Park, Pool, Main Road ",Savvy Swaraj ,1 Open ,2 ,Freehold ,44.0,The Propking Realty
2 BHK Apartment,780 sqft carpet area,2 ,"Gala Aria,South Bopal, Bopal",Ready to Move ,6 out of 12 floors floor,Resale ,Unfurnished ,East ,"Garden/Park, Main Road ",Gala Aria ,1 Covered ,2 ,Freehold ,54.0,Jain Estate Management
3 BHK Apartment,984 sqft carpet area,3 ,"Scarlet Heights,Satellite",Ready to Move ,6 out of 13 floors floor,Resale ,Unfurnished ,East ,"Garden/Park, Main Road ",Scarlet Heights ,"1 Covered, 2 Open ",3 ,Freehold ,91.0,The Property Advisor
3 BHK Apartment,Nan,3 ,"Casa Vyoma,Vastrapur",Ready to Move ,7 out of 13 floors floor,Resale ,Unfurnished ,East ,Garden/Park ,Casa Vyoma ,1 Covered ,3 ,Freehold ,100.0,Vision Space Management
2 BHK Apartment,Nan,2 ,"Sarvesh,Ranip",Nan,Nan,New Property ,Unfurnished ,Nan,Nan,Sarvesh ,Nan,2 ,Nan,38.6,Bakeri Group
3 BHK Apartment,Nan,3 ,"Suryam Ananta,Vastral",Possession by Jun '24 ,Nan,New Property ,Unfurnished ,Nan,Nan,Suryam Ananta ,Nan,3 ,Nan,45.7,Suryam Group
1 BHK Apartment,Nan,1 ,"Rashmi Vihar,Narolgam",Ready to Move ,Nan,New Property ,Unfurnished ,Nan,Nan,Rashmi Vihar ,Nan,1 ,Nan,13.5,Nitesh Vasava
3 BHK Apartment,Nan,3 ,"Gala Eternia,Thaltej",Ready to Move ,7 out of 14 floors floor,New Property ,Unfurnished ,Nan,Nan,Gala Eternia ,Nan,3 ,Nan,111.00000000000001,Gala Group
3 BHK Apartment,721 sqft carpet area,3 ,Vaishno Devi,Possession by Jun '23 ,2 out of 12 floors floor,New Property ,Unfurnished ,East ,Main Road ,Nan,1 Covered ,2 ,Freehold ,49.0,Ganesh Housing Corporation Ltd.
1 BHK Villa,Nan,1 ,"Malhaar Exotica,Sardar Patel Ring Road",Ready to Move ,Nan,New Property ,Unfurnished ,Nan,"Garden/Park, Pool, Main Road ",Malhaar Exotica ,1 Open ,1 ,Freehold ,24.0,Malhaar Exotica
3 BHK Apartment,Nan,3 ,"Shilp Shaligram,Vastrapur",Possession by Jun '22 ,1 out of 10 floors floor,New Property ,Unfurnished ,Nan,Nan,Shilp Shaligram ,Nan,3 ,Nan,121.0,Shilp Group
3 BHK Apartment,Nan,3 ,"Rajvi Opal,Naranpura",Possession by Nov '21 ,Nan,New Property ,Unfurnished ,Nan,Nan,Rajvi Opal ,2 Covered ,3 ,Nan,108.0,Shivam Builders Pvt Ltd
3 BHK Apartment,Nan,3 ,"Ekta Festival,Naranpura",Possession by Mar '22 ,Nan,New Property ,Unfurnished ,Nan,Nan,Ekta Festival ,2 Covered ,3 ,Nan,112.00000000000001,Anand Patel
3 BHK Apartment,1191 sqft carpet area,3 ,"Polaris Celestia,Koteshwar",Possession by Jul '23 ,Nan,New Property ,Unfurnished ,Nan,Nan,Polaris Celestia ,Nan,3 ,Nan,86.7,Polaris Group
3 BHK Apartment,1783 sqft carpet area,3 ,Thaltej,Ready to Move ,Nan,New Property ,Unfurnished ,East ,"Garden/Park, Pool, Main Road ",Nan,2 Covered ,3 ,Freehold ,158.0,Heaven Space
3 BHK Apartment,1085 sqft carpet area,3 ,"Jagatpur Village, Gota",Ready to Move ,Nan,Resale ,Unfurnished ,North ,"Garden/Park, Pool, Main Road ",Nan,1 Covered ,3 ,Freehold ,61.0,Metro Real Estate
2 BHK Apartment,650 sqft carpet area,2 ,"Sky Sol,South Bopal, Bopal",Ready to Move ,9 out of 13 floors floor,Resale ,Furnished ,East ,Main Road ,Sky Sol ,1 Covered ,2 ,Freehold ,49.5,Resolute Property Solution
3 BHK Apartment,1209 sqft carpet area,3 ,Gota,Ready to Move ,Nan,New Property ,Unfurnished ,East ,"Garden/Park, Pool, Main Road ",Nan,"1 Covered, 1 Open ",3 ,Freehold ,80.0,Vital Space Management Private Limited
3 BHK Apartment,1500 sqft carpet area,3 ,"Indraprasth 5,Prahlad Nagar",Ready to Move ,3 out of 5 floors floor,Resale ,Unfurnished ,East ,Garden/Park ,Indraprasth 5 ,1 Covered ,3 ,Freehold ,114.99999999999999,H2O Property Solutions
3 BHK Apartment,1356 sqft carpet area,3 ,"Belvista,Iskon Ambli Road",Ready to Move ,5 out of 7 floors floor,New Property ,Unfurnished ,East ,"Garden/Park, Main Road ",Belvista ,1 Covered ,3 ,Freehold ,162.0,Disha Estate Management Pvt.Ltd
3 BHK Villa,550 sqyrd carpet area,3 ,Sardar Patel Ring Road,Ready to Move ,Nan,Resale ,Furnished ,East ,Garden/Park ,Nan,"3 Covered, 2 Open ",3 ,Co-operative Society ,530.0,Prop Advisor Realty Services Pvt. Ltd.
3 BHK Apartment,1209 sqft carpet area,3 ,Gota,Ready to Move ,Nan,Resale ,Unfurnished ,East ,"Garden/Park, Pool, Main Road ",Nan,1 Covered ,3 ,Freehold ,75.0,Clear Deals Properties
3 BHK Apartment,1436 sqft carpet area,3 ,"Maple Tree Garden Homes,Thaltej",Ready to Move ,1 out of 1 floor floor,New Property ,Unfurnished ,East ,"Garden/Park, Pool, Main Road ",Maple Tree Garden Homes ,2 Covered ,3 ,Freehold ,150.0,Vision Espace
3 BHK Apartment,146 sqyrd carpet area,3 ,"42 Parkview,Science City",Ready to Move ,2 out of 13 floors floor,Resale ,Unfurnished ,East ,"Garden/Park, Main Road ",42 Parkview ,2 Covered ,3 ,Freehold ,150.0,Niraj Estate Consultancy
3 BHK Apartment,1221 sqft carpet area,3 ,"Gala Eternia,Thaltej",Ready to Move ,Nan,New Property ,Unfurnished ,East ,Main Road ,Gala Eternia ,1 Open ,3 ,Freehold ,101.0,Bagrecha Realities LLP
3 BHK Apartment,1200 sqft carpet area,3 ,"Vastu Oasis,PRL Colony, Thaltej",Ready to Move ,6 out of 7 floors floor,Resale ,Unfurnished ,East ,Garden/Park ,Vastu Oasis ,1 Covered ,3 ,Freehold ,148.0,Elite Realty Services LLP
3 BHK Apartment,1001 sqft carpet area,3 ,"Sun South Winds,South Bopal, Bopal",Ready to Move ,1 out of 14 floors floor,New Property ,Unfurnished ,East ,"Garden/Park, Pool, Main Road ",Sun South Winds ,Nan,3 ,Freehold ,62.0,Tanishqua Reality
3 BHK Apartment,Nan,3 ,C G Road,Ready to Move ,3 out of 5 floors floor,New Property ,Unfurnished ,North ,Garden/Park ,Nan,1 Covered ,3 ,Freehold ,133.0,Tulja Estate Pvt. Ltd.
3 BHK Villa,225 sqyrd carpet area,3 ,Thaltej,Ready to Move ,Nan,Resale ,Furnished ,East ,"Garden/Park, Main Road ",Nan,1 Covered ,3 ,Freehold ,290.0,Arham Property Solution
2 BHK Apartment,85 sqyrd carpet area,2 ,Bodakdev,Ready to Move ,2 out of 4 floors floor,Resale ,Furnished ,West ,"Garden/Park, Main Road ",Nan,1 Covered ,2 ,Freehold ,60.0,Times Property Solution
2 BHK Apartment,847 sqft carpet area,2 ,"Savvy Swaraj,Jagatpur",Ready to Move ,3 out of 13 floors floor,Resale ,Unfurnished ,North - East ,"Garden/Park, Pool, Main Road ",Savvy Swaraj ,1 Open ,2 ,Freehold ,44.0,The Propking Realty
2 BHK Apartment,780 sqft carpet area,2 ,"Gala Aria,South Bopal, Bopal",Ready to Move ,6 out of 12 floors floor,Resale ,Unfurnished ,East ,"Garden/Park, Main Road ",Gala Aria ,1 Covered ,2 ,Freehold ,54.0,Jain Estate Management
3 BHK Apartment,984 sqft carpet area,3 ,"Scarlet Heights,Satellite",Ready to Move ,6 out of 13 floors floor,Resale ,Unfurnished ,East ,"Garden/Park, Main Road ",Scarlet Heights ,"1 Covered, 2 Open ",3 ,Freehold ,91.0,The Property Advisor
3 BHK Apartment,Nan,3 ,"Casa Vyoma,Vastrapur",Ready to Move ,7 out of 13 floors floor,Resale ,Unfurnished ,East ,Garden/Park ,Casa Vyoma ,1 Covered ,3 ,Freehold ,100.0,Vision Space Management
2 BHK Apartment,Nan,2 ,"Sarvesh,Ranip",Nan,Nan,New Property ,Unfurnished ,Nan,Nan,Sarvesh ,Nan,2 ,Nan,38.6,Bakeri Group
3 BHK Apartment,Nan,3 ,"Suryam Ananta,Vastral",Possession by Jun '24 ,Nan,New Property ,Unfurnished ,Nan,Nan,Suryam Ananta ,Nan,3 ,Nan,45.7,Suryam Group
1 BHK Apartment,Nan,1 ,"Rashmi Vihar,Narolgam",Ready to Move ,Nan,New Property ,Unfurnished ,Nan,Nan,Rashmi Vihar ,Nan,1 ,Nan,13.5,Nitesh Vasava
3 BHK Apartment,Nan,3 ,"Gala Eternia,Thaltej",Ready to Move ,7 out of 14 floors floor,New Property ,Unfurnished ,Nan,Nan,Gala Eternia ,Nan,3 ,Nan,111.00000000000001,Gala Group
3 BHK Apartment,721 sqft carpet area,3 ,Vaishno Devi,Possession by Jun '23 ,2 out of 12 floors floor,New Property ,Unfurnished ,East ,Main Road ,Nan,1 Covered ,2 ,Freehold ,49.0,Ganesh Housing Corporation Ltd.
1 BHK Villa,Nan,1 ,"Malhaar Exotica,Sardar Patel Ring Road",Ready to Move ,Nan,New Property ,Unfurnished ,Nan,"Garden/Park, Pool, Main Road ",Malhaar Exotica ,1 Open ,1 ,Freehold ,24.0,Malhaar Exotica
3 BHK Apartment,Nan,3 ,"Shilp Shaligram,Vastrapur",Possession by Jun '22 ,1 out of 10 floors floor,New Property ,Unfurnished ,Nan,Nan,Shilp Shaligram ,Nan,3 ,Nan,121.0,Shilp Group
3 BHK Apartment,Nan,3 ,"Rajvi Opal,Naranpura",Possession by Nov '21 ,Nan,New Property ,Unfurnished ,Nan,Nan,Rajvi Opal ,2 Covered ,3 ,Nan,108.0,Shivam Builders Pvt Ltd
3 BHK Apartment,Nan,3 ,"Ekta Festival,Naranpura",Possession by Mar '22 ,Nan,New Property ,Unfurnished ,Nan,Nan,Ekta Festival ,2 Covered ,3 ,Nan,112.00000000000001,Anand Patel
3 BHK Apartment,1191 sqft carpet area,3 ,"Polaris Celestia,Koteshwar",Possession by Jul '23 ,Nan,New Property ,Unfurnished ,Nan,Nan,Polaris Celestia ,Nan,3 ,Nan,86.7,Polaris Group
3 BHK Apartment,1783 sqft carpet area,3 ,Thaltej,Ready to Move ,Nan,New Property ,Unfurnished ,East ,"Garden/Park, Pool, Main Road ",Nan,2 Covered ,3 ,Freehold ,158.0,Heaven Space
3 BHK Apartment,1085 sqft carpet area,3 ,"Jagatpur Village, Gota",Ready to Move ,Nan,Resale ,Unfurnished ,North ,"Garden/Park, Pool, Main Road ",Nan,1 Covered ,3 ,Freehold ,61.0,Metro Real Estate
2 BHK Apartment,650 sqft carpet area,2 ,"Sky Sol,South Bopal, Bopal",Ready to Move ,9 out of 13 floors floor,Resale ,Furnished ,East ,Main Road ,Sky Sol ,1 Covered ,2 ,Freehold ,49.5,Resolute Property Solution
3 BHK Apartment,1209 sqft carpet area,3 ,Gota,Ready to Move ,Nan,New Property ,Unfurnished ,East ,"Garden/Park, Pool, Main Road ",Nan,"1 Covered, 1 Open ",3 ,Freehold ,80.0,Vital Space Management Private Limited
3 BHK Apartment,1500 sqft carpet area,3 ,"Indraprasth 5,Prahlad Nagar",Ready to Move ,3 out of 5 floors floor,Resale ,Unfurnished ,East ,Garden/Park ,Indraprasth 5 ,1 Covered ,3 ,Freehold ,114.99999999999999,H2O Property Solutions
3 BHK Apartment,1356 sqft carpet area,3 ,"Belvista,Iskon Ambli Road",Ready to Move ,5 out of 7 floors floor,New Property ,Unfurnished ,East ,"Garden/Park, Main Road ",Belvista ,1 Covered ,3 ,Freehold ,162.0,Disha Estate Management Pvt.Ltd
3 BHK Villa,550 sqyrd carpet area,3 ,Sardar Patel Ring Road,Ready to Move ,Nan,Resale ,Furnished ,East ,Garden/Park ,Nan,"3 Covered, 2 Open ",3 ,Co-operative Society ,530.0,Prop Advisor Realty Services Pvt. Ltd.
3 BHK Apartment,1209 sqft carpet area,3 ,Gota,Ready to Move ,Nan,Resale ,Unfurnished ,East ,"Garden/Park, Pool, Main Road ",Nan,1 Covered ,3 ,Freehold ,75.0,Clear Deals Properties
3 BHK Apartment,1436 sqft carpet area,3 ,"Maple Tree Garden Homes,Thaltej",Ready to Move ,1 out of 1 floor floor,New Property ,Unfurnished ,East ,"Garden/Park, Pool, Main Road ",Maple Tree Garden Homes ,2 Covered ,3 ,Freehold ,150.0,Vision Espace
3 BHK Apartment,146 sqyrd carpet area,3 ,"42 Parkview,Science City",Ready to Move ,2 out of 13 floors floor,Resale ,Unfurnished ,East ,"Garden/Park, Main Road ",42 Parkview ,2 Covered ,3 ,Freehold ,150.0,Niraj Estate Consultancy
3 BHK Apartment,1221 sqft carpet area,3 ,"Gala Eternia,Thaltej",Ready to Move ,Nan,New Property ,Unfurnished ,East ,Main Road ,Gala Eternia ,1 Open ,3 ,Freehold ,101.0,Bagrecha Realities LLP
3 BHK Apartment,1200 sqft carpet area,3 ,"Vastu Oasis,PRL Colony, Thaltej",Ready to Move ,6 out of 7 floors floor,Resale ,Unfurnished ,East ,Garden/Park ,Vastu Oasis ,1 Covered ,3 ,Freehold ,148.0,Elite Realty Services LLP
3 BHK Apartment,1001 sqft carpet area,3 ,"Sun South Winds,South Bopal, Bopal",Ready to Move ,1 out of 14 floors floor,New Property ,Unfurnished ,East ,"Garden/Park, Pool, Main Road ",Sun South Winds ,Nan,3 ,Freehold ,62.0,Tanishqua Reality
3 BHK Apartment,Nan,3 ,C G Road,Ready to Move ,3 out of 5 floors floor,New Property ,Unfurnished ,North ,Garden/Park ,Nan,1 Covered ,3 ,Freehold ,133.0,Tulja Estate Pvt. Ltd.
